activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_25917016,PARENT0773,PMID_39023902,ASSY_CHEMBL5526934,CM00672,UFUJZCOKRAWVJC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917017,PARENT0774,PMID_39023902,ASSY_CHEMBL5526934,CM00040,BDRKLUMZHZRPPC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917018,PARENT0775,PMID_39023902,ASSY_CHEMBL5526934,CM00362,KOSCKGGIRGGZTF-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917019,PARENT0776,PMID_39023902,ASSY_CHEMBL5526934,CM00527,PKKIYQDTPWYHEP-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917020,PARENT0777,PMID_39023902,ASSY_CHEMBL5526934,CM00798,XNKFQGXSUWIPCV-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917021,PARENT0778,PMID_39023902,ASSY_CHEMBL5526934,CM00080,CECBYXHCFGMEDN-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917022,PARENT0779,PMID_39023902,ASSY_CHEMBL5526934,CM00552,QDNPHLVYRJQGRI-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917023,PARENT0780,PMID_39023902,ASSY_CHEMBL5526934,CM00754,WLHNUUUYHZSCQR-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917026,PARENT0783,PMID_39023902,ASSY_CHEMBL5526934,CM00282,ILKNJDURJWWDMK-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917028,PARENT0785,PMID_39023902,ASSY_CHEMBL5526934,CM00150,FCDZZSCPPMTLKT-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
