activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACT_12628065,MG00463,MG00463,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.9083,123.51,CM00852,PARENT0226,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,123.03,6.91,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.91 (generic negative-log potency)
ACT_12628066,MG00084,MG00084,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.9703,107.08,CM00144,PARENT0227,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,107.15,6.97,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_12628067,MG00407,MG00407,1,1,single,single,6.301,500.03,CM00750,PARENT0231,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,500.0,6.301,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.3 (generic negative-log potency)
ACT_12628068,MG00224,MG00224,1,1,single,single,6.2076,620.01,CM00414,PARENT0232,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,620.0,6.2076,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.21 (generic negative-log potency)
ACT_12628069,MG00399,MG00399,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8504,1411.24,CM00733,PARENT0196,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1410.0,5.8508,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.85 (generic negative-log potency)
ACT_12628070,MG00065,MG00065,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0317,929.61,CM00115,PARENT0197,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,926.0,6.0334,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.03 (generic negative-log potency)
ACT_12628071,MG00056,MG00056,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.3794,417.45,CM00099,PARENT0198,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,418.0,6.3788,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.38 (generic negative-log potency)
ACT_12628072,MG00041,MG00041,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5114,308.03,CM00074,PARENT0199,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,307.0,6.5129,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.51 (generic negative-log potency)
ACT_12628073,MG00256,MG00256,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5396,288.67,CM00465,PARENT0200,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,289.0,6.5391,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.54 (generic negative-log potency)
ACT_12628074,MG00300,MG00300,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6479,224.96,CM00554,PARENT0201,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,226.0,6.6459,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.65 (generic negative-log potency)
ACT_12628075,MG00326,MG00326,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8313,147.47,CM00600,PARENT0202,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,147.0,6.8327,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.83 (generic negative-log potency)
ACT_12628076,MG00369,MG00369,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.6984,2002.63,CM00680,PARENT0203,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,2010.0,5.6968,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.7 (generic negative-log potency)
ACT_12628077,MG00286,MG00286,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.282,52.24,CM00524,PARENT0204,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,52.0,7.284,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.28 (generic negative-log potency)
ACT_12628081,MG00315,MG00315,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.7585,1743.81,CM00588,PARENT0206,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1750.0,5.757,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.76 (generic negative-log potency)
ACT_12628082,MG00345,MG00345,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6019,250.09,CM00640,PARENT0207,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,249.0,6.6038,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.6 (generic negative-log potency)
ACT_12628083,MG00289,MG00289,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7474,178.9,CM00532,PARENT0208,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,180.0,6.7447,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_12628084,MG00350,MG00350,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.9815,104.35,CM00647,PARENT0209,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,104.0,6.983,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.98 (generic negative-log potency)
ACT_12628085,MG00368,MG00368,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8029,157.43,CM00679,PARENT0210,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,160.0,6.7959,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.8 (generic negative-log potency)
