assay_id,chembl_assay_id,assay_name,source_ids,receptor_species,receptor_construct,cell_system,readout,assay_family,functional_or_binding,orthosteric_agonist,agonist_conc_or_ecxx,pam_relevant,n_activities,n_core_activities,n_exact_potency_activities,normalization_notes
ASSY_CHEMBL5253758,CHEMBL5253758,Positive allosteric modulator activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as maximal response to ACh by calcium mobilization assay relative to contol,PMID_28197318,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,14,0,0,
ASSY_CHEMBL5253759,CHEMBL5253759,Positive allosteric modulator activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 in absence of EC20 concentration of acetylcholine by calcium mobilization assay,PMID_28197318,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,1,0,0,
ASSY_CHEMBL5253826,CHEMBL5253826,Positive allosteric modulator activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as leftward shift in concentration response at 10 uM measured after 140 sec by fold shift assay,PMID_28197318,Homo sapiens,,CHO,fold_shift,fold-shift,functional,,,True,1,0,0,
ASSY_CHEMBL5253828,CHEMBL5253828,Positive allosteric modulator activity at human M4 receptor assessed as equilibrium binding constant at 1 uM,PMID_28197318,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,,,True,2,0,0,
ASSY_CHEMBL5504408,CHEMBL5504408,Positive allosteric modulation of human muscarinic M4 receptor expressed in HEK293 cells in presence of EC20 concentration of acetylcholine by Glosensor cAMP assay,PMID_38888621,Homo sapiens,,HEK293,PAM_functional_cAMP,cAMP,functional,acetylcholine,EC20,True,19,19,19,
ASSY_CHEMBL5504409,CHEMBL5504409,Positive allosteric modulation of human muscarinic M4 receptor expressed in HEK293 cells in presence of EC20 concentration of acetylcholine by Glosensor cAMP assay relative to control,PMID_38888621,Homo sapiens,,HEK293,PAM_functional_cAMP,cAMP,functional,acetylcholine,EC20,True,19,0,0,
ASSY_CHEMBL5504441,CHEMBL5504441,Potentiation of acetylcholine mediated [3H]NMS displacement from human M4 receptor,PMID_38888621,Homo sapiens,,,other,other,other,acetylcholine,,,1,0,0,
ASSY_CHEMBL5504461,CHEMBL5504461,Positive allosteric modulation of human muscarinic M4 receptor in presence of EC20 concentration of acetylcholine by FLIPR assay,PMID_38888621,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,1,1,1,
ASSY_CHEMBL5526934,CHEMBL5526934,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as change in ACh-induced Gi/o activation at 10 uM measured for 8 mins by BRET assay relative to control,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,41,0,0,
ASSY_CHEMBL5526935,CHEMBL5526935,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as change in ACh-induced Gi/o activation at 10 uM measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,8,0,0,
ASSY_CHEMBL5526936,CHEMBL5526936,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as change in ACh-induced Gi/o activation at 1 uM measured for 8 mins by BRET assay relative to control,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,12,0,0,
ASSY_CHEMBL5526937,CHEMBL5526937,Positive allosteric modulation at human M4 mAChR stably expressed in ACh-induced Flp-In-CHO cells measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526938,CHEMBL5526938,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as ACh-induced G0B activation by measuring log of operational efficacy measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526939,CHEMBL5526939,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as ACh-induced G0B activation by measuring operational efficacy measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526940,CHEMBL5526940,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as ACh-induced G0B activation by measuring log of functional co-operativity measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526941,CHEMBL5526941,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells assessed as ACh-induced G0B activation by measuring functional co-operativity measured for 8 mins by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_Gprotein,G-protein,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526942,CHEMBL5526942,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with CAMYEL biosensor assessed as ACh-induced CAMYEL activation by measuring log of operational efficacy by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526943,CHEMBL5526943,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with CAMYEL biosensor assessed as ACh-induced CAMYEL activation by measuring operational efficacy by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526944,CHEMBL5526944,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with CAMYEL biosensor assessed as ACh-induced CAMYEL activation by measuring log of functional co-operativity by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526945,CHEMBL5526945,Positive allosteric modulation at human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with CAMYEL biosensor assessed as ACh-induced CAMYEL activation by measuring functional co-operativity by BRET assay,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,18,0,0,
ASSY_CHEMBL5526946,CHEMBL5526946,Positive allosteric modulation at Rluc8-tagged human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with beta-arrestin-2 assessed as ACh-induced beta-arrestin-2 recruitment by measuring log of operational efficacy incubated for 5 mins,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,8,0,0,
ASSY_CHEMBL5526947,CHEMBL5526947,Positive allosteric modulation at Rluc8-tagged human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with beta-arrestin-2 assessed as ACh-induced beta-arrestin-2 recruitment by measuring operational efficacy incubated for 5 mins,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,8,0,0,
ASSY_CHEMBL5526948,CHEMBL5526948,Positive allosteric modulation at Rluc8-tagged human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with beta-arrestin-2 assessed as ACh-induced beta-arrestin-2 recruitment by measuring log of functional co-operativity incubated for 5 mins,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,8,0,0,
ASSY_CHEMBL5526949,CHEMBL5526949,Positive allosteric modulation at Rluc8-tagged human M4 mAChR stably expressed in Flp-In-CHO cells co-transfected with beta-arrestin-2 assessed as ACh-induced beta-arrestin-2 recruitment by measuring functional co-operativity incubated for 5 mins,PMID_39023902,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,8,0,0,
ASSY_CHEMBL5582321,CHEMBL5582321,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing chimeric Gqi5 in presence of acetylcholine by Fluo-4 AM dye based calcium mobilization assay,PMID_39140069,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,94,93,86,
ASSY_CHEMBL5582322,CHEMBL5582322,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing chimeric Gqi5 assessed as maximum acetylcholine response by Fluo-4 AM dye based calcium mobilization assay relative to control,PMID_39140069,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,47,0,0,
ASSY_CHEMBL5623657,CHEMBL5623657,Positive allosteric modulation at human M4 mAChR expressed in Flp-In-CHO cells co-expressing CAMYEL biosensor assessed as change in ACh-mediated response incubated for 5 mins by BRET assay,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,29,0,0,
ASSY_CHEMBL5623658,CHEMBL5623658,Positive allosteric modulation at human M4 mAChR expressed in Flp-In-CHO cells co-expressing CAMYEL biosensor assessed as change in maximum ACh-mediated response at 10 uM incubated for 5 mins by BRET assay relative to control,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,29,0,0,
ASSY_CHEMBL5623661,CHEMBL5623661,Positive allosteric modulation at human M4 mAChR expressed in Flp-In-CHO cells co-expressing CAMYEL biosensor assessed as efficacy of ACh-mediated cAMP signalling (log tau B) incubated for 5 mins by BRET assay,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,9,0,0,
ASSY_CHEMBL5623662,CHEMBL5623662,Positive allosteric modulation at human M4 mAChR expressed in Flp-In-CHO cells co-expressing CAMYEL biosensor assessed as ACh-mediated cAMP signalling co-operativity (log alpha beta) incubated for 5 mins by BRET assay,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,9,0,0,
ASSY_CHEMBL5623663,CHEMBL5623663,Positive allosteric modulation at Rluc-tagged human M4 mAChR expressed in Flp-In-CHO cells co-expressing eYFP-tagged beta-arrestin 2 assessed as efficacy of ACh-mediated beta-arrestin 2 recruitment (log tau B) incubated for 5 mins by luminometry,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,9,0,0,
ASSY_CHEMBL5623664,CHEMBL5623664,Positive allosteric modulation at Rluc-tagged human M4 mAChR expressed in Flp-In-CHO cells co-expressing eYFP-tagged beta-arrestin 2 assessed as ACh-mediated beta-arrestin 2 recruitment co-operativity (log alpha beta) incubated for 5 mins by luminometry,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_betarr,beta-arrestin,functional,acetylcholine,,True,9,0,0,
