canonical_molecule_id,canonical_inchikey,canonical_smiles,canonical_inchi,identity_status,canonical_representative_parent_id,all_parent_ids,all_chembl_ids,all_names,all_aliases,identity_decision,identity_decision_provenance,member_notes,modeling_eligibility_note,collision_report
CM00864,ZTSYSZUBBMDQLM-UHFFFAOYSA-N,COc1cc(F)c(CNC(=O)c2sc3nnc(C)c(C)c3c2N)c(F)c1,"InChI=1S/C17H16F2N4O2S/c1-7-8(2)22-23-17-13(7)14(20)15(26-17)16(24)21-6-10-11(18)4-9(25-3)5-12(10)19/h4-5H,6,20H2,1-3H3,(H,21,24)",confirmed_structure,PARENT0728,PARENT0728,CHEMBL5288291,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0728:chembl=CHEMBL5288291,class=pure_PAM",,
CM00865,ZUAPGVCAWSOYMH-UHFFFAOYSA-N,COc1ccc(C)c2sc(C(=O)NC3CC3)nc12,"InChI=1S/C13H14N2O2S/c1-7-3-6-9(17-2)10-11(7)18-13(15-10)12(16)14-8-4-5-8/h3,6,8H,4-5H2,1-2H3,(H,14,16)",confirmed_structure,PARENT0149,PARENT0149,CHEMBL2057683,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0149:chembl=CHEMBL2057683,class=weak_PAM",,
CM00866,ZUYPXJXTDJMPBJ-UHFFFAOYSA-N,CC1(C)CC(=O)n2c3cccc(O)c3c3c4c(cc1c32)CNCC4,"InChI=1S/C20H20N2O2/c1-20(2)9-16(24)22-14-4-3-5-15(23)18(14)17-12-6-7-21-10-11(12)8-13(20)19(17)22/h3-5,8,21,23H,6-7,9-10H2,1-2H3",confirmed_structure,PARENT0012,PARENT0012,CHEMBL287096,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0012:chembl=CHEMBL287096,class=other_context",,
CM00867,ZVBKXLXHAAHFHP-UHFFFAOYSA-N,Cc1c(CF)nnc2sc(C(=O)NC3CN(c4ncc(C(F)(F)F)cn4)C3)c(N)c12,"InChI=1S/C17H15F4N7OS/c1-7-10(2-18)26-27-15-11(7)12(22)13(30-15)14(29)25-9-5-28(6-9)16-23-3-8(4-24-16)17(19,20)21/h3-4,9H,2,5-6,22H2,1H3,(H,25,29)",confirmed_structure,PARENT0664,PARENT0664,CHEMBL4740272,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0664:chembl=CHEMBL4740272,class=pure_PAM",,
CM00868,ZVMQBJVYZWZOMY-UHFFFAOYSA-N,Cc1c(Cl)cnc2sc3c(NC4CC(c5ccncc5)C4)ncnc3c12,"InChI=1S/C19H16ClN5S/c1-10-14(20)8-22-19-15(10)16-17(26-19)18(24-9-23-16)25-13-6-12(7-13)11-2-4-21-5-3-11/h2-5,8-9,12-13H,6-7H2,1H3,(H,23,24,25)",confirmed_structure,PARENT0826,PARENT0826,CHEMBL5593743,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0826:chembl=CHEMBL5593743,class=pure_PAM",,
CM00869,ZWFARCPRJNDWHQ-UHFFFAOYSA-N,COc1ccc(C)c2sc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)nc12,"InChI=1S/C16H13F3N2O3S2/c1-9-3-8-12(24-2)13-14(9)25-15(20-13)21-26(22,23)11-6-4-10(5-7-11)16(17,18)19/h3-8H,1-2H3,(H,20,21)",confirmed_structure,PARENT0141,PARENT0141,CHEMBL2057675,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0141:chembl=CHEMBL2057675,class=other_context",,
CM00870,ZWGPQKCTIWOISZ-UHFFFAOYSA-N,COc1ccc(C)c2sc(NC(=O)C3CCC3)nc12,"InChI=1S/C14H16N2O2S/c1-8-6-7-10(18-2)11-12(8)19-14(15-11)16-13(17)9-4-3-5-9/h6-7,9H,3-5H2,1-2H3,(H,15,16,17)",confirmed_structure,PARENT0116,PARENT0116,CHEMBL2057385,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0116:chembl=CHEMBL2057385,class=weak_PAM",,
CM00871,ZWLDINUGCPPSCJ-UHFFFAOYSA-N,COc1cc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc(OC)c1,"InChI=1S/C19H21N3O3S/c1-10-5-11(2)22-19-15(10)16(20)17(26-19)18(23)21-9-12-6-13(24-3)8-14(7-12)25-4/h5-8H,9,20H2,1-4H3,(H,21,23)",confirmed_structure,PARENT0239,PARENT0239,CHEMBL2435352,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0239:chembl=CHEMBL2435352,class=other_context",,
CM00872,ZYYCQADEKMFTKC-UHFFFAOYSA-N,Cc1nc2sc(C(=O)c3cccnc3)c(N)c2c(C)c1Cl,"InChI=1S/C15H12ClN3OS/c1-7-10-12(17)14(13(20)9-4-3-5-18-6-9)21-15(10)19-8(2)11(7)16/h3-6H,17H2,1-2H3",confirmed_structure,PARENT0533,PARENT0533,CHEMBL4577985,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0533:chembl=CHEMBL4577985,class=pure_PAM",,
CM00873,ZZGUJHFBBMPAKM-UHFFFAOYSA-N,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ncncc2c1=O,"InChI=1S/C21H15N3O3/c25-19-17-10-22-13-23-20(17)24(12-18(19)21(26)27)11-14-6-8-16(9-7-14)15-4-2-1-3-5-15/h1-10,12-13H,11H2,(H,26,27)",confirmed_structure,PARENT0068,PARENT0068,CHEMBL1093127,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0068:chembl=CHEMBL1093127,class=other_context",,
