window,region,metric,cosine,norm_R2,norm_R3,distance,relative_distance
3,species_probe,dPAM,0.26769886504544227,5.891942024815407,3.02944245467896,5.859695220355048,1.3136291197455836
3,species_probe,dAGO,0.09344565827350713,1.1349477816122269,1.8826092212949501,2.1054691059767663,1.3954792595124559
3,species_probe,dINT,0.6351442208288363,5.7206568935525866,4.387780882177195,4.482526098650864,0.8868880034882042
3,global,dPAM,-0.2744207317334825,0.5951209285592746,0.375011507702834,0.7856789737288344,1.619735500765302
3,global,dAGO,0.3027294152028301,0.7265948635465608,0.20066342658198627,0.6927693659884441,1.4942317008401285
3,global,dINT,-0.645500371218479,0.35624733057343616,0.4638033806240719,0.745208784019846,1.817470002389556
3,distal_control,dPAM,-0.678844806188421,1.3991290884745908,2.8583697874908207,3.9443061226856972,1.8528747687766818
3,distal_control,dAGO,-0.7693937525449367,1.9597448792090417,3.07976731273303,4.755313687632007,1.8872118992927593
3,distal_control,dINT,-0.11809699833970318,1.5001991960563767,1.6357688903123098,2.3464766436680122,1.4964926804374015
4,ACh_pocket,dPAM,-0.03313009606876678,2.383955220170921,0.6270999397031051,2.4850662701950403,1.650628193937841
4,ACh_pocket,dAGO,-0.2279428901175887,1.3637305574460927,0.8346479376163947,1.7536542753054984,1.5954070504639393
4,ACh_pocket,dINT,0.5091344210624833,2.730276678199054,1.0448055887708851,2.375143632352514,1.258326820124594
4,compound110_pocket,dPAM,0.4609295325492612,0.8623638759314699,1.3773170968623771,1.2432767627467975,1.1102266598228012
4,compound110_pocket,dAGO,-0.8593505264636684,1.2199571082971064,0.9352871715057794,2.0794501505039924,1.9296653933763597
4,compound110_pocket,dINT,-0.6102945186418915,1.5843686396612913,2.030241705807249,3.2493560394650842,1.7979011450230826
4,ECV_anchor,dPAM,-0.5133744427982961,2.68909259918944,2.259062844873248,4.309513665372915,1.741866727547502
4,ECV_anchor,dAGO,0.9227630920057783,1.892528608905309,2.127294933519503,0.8228132465841663,0.4093777937764075
4,ECV_anchor,dINT,0.3404590088336421,4.228500352275093,1.2051734127519194,3.982794004182812,1.4659672907922592
4,W435_gate,dPAM,-0.5075576540179816,4.799231127693311,5.545878529391942,8.98930749695077,1.7378853960806673
4,W435_gate,dAGO,0.9014151639039096,4.522954533454341,6.460321469662724,3.084580564326674,0.5616867979009663
4,W435_gate,dINT,0.28199233924381806,7.830097098897631,8.210237441229372,9.615693474749598,1.1989392678431585
4,species_probe,dPAM,-0.8782912431567855,5.013123704648575,5.539680875311619,10.227497790110856,1.9383468560638188
4,species_probe,dAGO,0.9378793697687285,2.3830673264281104,3.3533774716019726,1.390810547793778,0.48490331442617124
4,species_probe,dINT,-0.2682990924562981,6.835397870858016,5.557029977593179,9.898770924527081,1.5975515121944777
4,global,dPAM,-0.7675876297760635,0.5501213763622421,0.7502737390636548,1.224407995283291,1.8831322584325163
4,global,dAGO,-0.4582551165366016,0.15383609279158061,0.1983577813210516,0.30162606523935365,1.7128410651622694
4,global,dINT,-0.6511693097081266,0.5498813809514206,0.7268580931617552,1.16241919510805,1.8209183920086236
4,distal_control,dPAM,-0.8251857250043015,2.2572371771668105,1.6773736839544775,3.762630521312245,1.9125807629372364
4,distal_control,dAGO,-0.5862326616132596,1.248891436034295,1.0211773981745333,2.024308444785304,1.7834775882387042
4,distal_control,dINT,-0.8662963154437183,2.2353038367180478,1.4399104358336934,3.5561935564352374,1.9352305975706465
